"category","ingredient","concern","quantity","proportion"
"after-shave","aspirin","high",3,0.00900900900900901
"after-shave","benzophenone","high",1,0.003003003003003
"after-shave","butylated-hydroxyanisole","high",1,0.003003003003003
"after-shave","cocamide-dea","high",1,0.003003003003003
"after-shave","diethyl-phthalate","high",1,0.003003003003003
"after-shave","triclosan","high",6,0.018018018018018
"after-shave","benzocaine","medium",1,0.003003003003003
"after-shave","butylated-hydroxytoluene","medium",23,0.0690690690690691
"after-shave","eugenol","medium",10,0.03003003003003
"after-shave","limonene","medium",40,0.12012012012012
"after-shave","phenoxyethanol","medium",88,0.264264264264264
"after-shave","propylene-glycol","medium",101,0.303303303303303
"after-shave","resorcinol","medium",1,0.003003003003003
"after-shave","sodium-metabisulfite","medium",2,0.00600600600600601
"after-shave","t-butyl-alcohol","medium",2,0.00600600600600601
"after-shave","triethanolamine","medium",62,0.186186186186186
"after-shave","amino-methyl-propanol","low",8,0.024024024024024
"after-shave","amyl-cinnamate","low",2,0.00600600600600601
"after-shave","anthemis-nobilis-chamomile-flower","low",3,0.00900900900900901
"after-shave","benzoic-acid","low",21,0.0630630630630631
"after-shave","benzyl-benzoate","low",9,0.027027027027027
"after-shave","benzyl-salicylate","low",8,0.024024024024024
"after-shave","bromelain","low",1,0.003003003003003
"after-shave","butyl-paraben","low",23,0.0690690690690691
"after-shave","calcium-hydroxide","low",1,0.003003003003003
"after-shave","carrageenan","low",1,0.003003003003003
"after-shave","chamomile-compounds","low",6,0.018018018018018
"after-shave","chamomile-extract","low",16,0.048048048048048
"after-shave","cinnamaldehyde","low",2,0.00600600600600601
"after-shave","cinnamyl-alcohol","low",3,0.00900900900900901
"after-shave","citral","low",23,0.0690690690690691
"after-shave","citronellol","low",21,0.0630630630630631
"after-shave","cocamidopropyl-betaine","low",1,0.003003003003003
"after-shave","coumarin","low",15,0.045045045045045
"after-shave","denatonium-benzoate","low",2,0.00600600600600601
"after-shave","diazolidinylurea","low",20,0.0600600600600601
"after-shave","disodium-edta","low",31,0.0930930930930931
"after-shave","dmdm-hydantoin","low",15,0.045045045045045
"after-shave","edta","low",23,0.0690690690690691
"after-shave","ethyl-paraben","low",23,0.0690690690690691
"after-shave","farnesol","low",6,0.018018018018018
"after-shave","geraniol","low",30,0.0900900900900901
"after-shave","german-chamomile","low",7,0.021021021021021
"after-shave","glucose","low",1,0.003003003003003
"after-shave","guar-gum","low",2,0.00600600600600601
"after-shave","hexyl-cinnamal","low",9,0.027027027027027
"after-shave","hexylene-glycol","low",5,0.015015015015015
"after-shave","hydrogen-peroxide","low",2,0.00600600600600601
"after-shave","hydroxycitronellal","low",7,0.021021021021021
"after-shave","imidazolidinyl-urea","low",5,0.015015015015015
"after-shave","iodopropynyl-butylcarbamate","low",13,0.039039039039039
